28,2383.2443
,2382.3808
26,2381.502
,2380.6051
24,2379.6668
,2378.7201
22,2377.7348
,2376.7292
20,2375.6914
,2374.6293
18,2373.5466
,2372.4474
16,2371.31
,2370.1443
14,2368.9786
,2367.7579
12,2366.5229
,2365.2651
10,2363.9984
,2362.681
8,2361.3671
,2360.0017
6,2358.6203
,2357.2348
4,2355.7651
,2354.3495
2,2352.869
,2351.3594
0,2349.7816
,2347.4772
-2,2345.8765
,2344.2522
-4,2342.6202
,2340.9588
-6,2339.261
,2337.5471
-8,2335.8219
,2334.0449
-10,2332.259
,2330.4468
-12,2328.616
,2326.7535
-14,2324.8774
,2322.9907
-16,2321.0126
,2319.0439
-18,2317.0946
,2316.0591
-20,2315.1082
,2313.1056
-22,2311.0289
,2308.914
-24,2306.79
,2305.6176
-26,2304.6588
,2303.5272
-28,2302.5142
,2300.4026
-30,2298.2638
,2295.8776
-32,2294.3182
,2291.495
-34,2290.1136
,2288.9119