theta,phi,meta_energy,para_energy,ortho_energy,ortho_minus_meta_kcalmol,para_minus_meta_kcalmol
0.0000000000,0.0000000000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338219990,5.2220002953
0.0000000000,15.6521740000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220024,5.2220002961
0.0000000000,31.3043480000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338219993,5.2220002964
0.0000000000,46.9565220000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220010,5.2220002973
0.0000000000,62.6086960000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220013,5.2220002970
0.0000000000,78.2608700000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220019,5.2220002961
0.0000000000,93.9130430000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220007,5.2220002964
0.0000000000,109.5652170000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220013,5.2220002961
0.0000000000,125.2173910000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338219990,5.2220002967
0.0000000000,140.8695650000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220021,5.2220002956
0.0000000000,156.5217390000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220016,5.2220002970
0.0000000000,172.1739130000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220010,5.2220002978
0.0000000000,187.8260870000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220016,5.2220002964
0.0000000000,203.4782610000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220019,5.2220002984
0.0000000000,219.1304350000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220013,5.2220002970
0.0000000000,234.7826090000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338219993,5.2220002950
0.0000000000,250.4347830000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338219999,5.2220002961
0.0000000000,266.0869570000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220021,5.2220002978
0.0000000000,281.7391300000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220013,5.2220002967
0.0000000000,297.3913040000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220024,5.2220002970
0.0000000000,313.0434780000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220001,5.2220002970
0.0000000000,328.6956520000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220004,5.2220002981
0.0000000000,344.3478260000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220007,5.2220002953
0.0000000000,360.0000000000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220001,5.2220002950
7.8260870000,0.0000000000,-3007.8150919928,-3007.8009732788,-3007.8186495423,-2.2323960313,8.8596267411
7.8260870000,15.6521740000,-3007.8130966226,-3007.8013770837,-3007.8166083295,-2.2036293491,7.3541216878
7.8260870000,31.3043480000,-3007.8117897944,-3007.8026668831,-3007.8147160020,-1.8362229852,5.7247132755
7.8260870000,46.9565220000,-3007.8113150025,-3007.8047542378,-3007.8131202963,-1.1328389974,4.1169419680
7.8260870000,62.6086960000,-3007.8117286639,-3007.8074916784,-3007.8119514451,-0.1397973143,2.6587485747
7.8260870000,78.2608700000,-3007.8129893281,-3007.8106820319,-3007.8113078186,1.0551631591,1.4478502694
7.8260870000,93.9130430000,-3007.8149621706,-3007.8140916125,-3007.8112435313,2.3334813589,0.5462834155
7.8260870000,109.5652170000,-3007.8174390892,-3007.8174664769,-3007.8117616362,3.5626555400,-0.0171860477
7.8260870000,125.2173910000,-3007.8201711908,-3007.8205508911,-3007.8128138893,4.6167764451,-0.2382654782
7.8260870000,140.8695650000,-3007.8229069219,-3007.8231069621,-3007.8143093730,5.3950433931,-0.1255271581
7.8260870000,156.5217390000,-3007.8254272828,-3007.8249349965,-3007.8161260562,5.8366078406,0.3089143409
7.8260870000,172.1739130000,-3007.8275671914,-3007.8258916207,-3007.8181242871,5.9255119110,1.0514365185
7.8260870000,187.8260870000,-3007.8292240640,-3007.8259037012,-3007.8201582882,5.6888601746,2.0835590835
7.8260870000,203.4782610000,-3007.8303466201,-3007.8249750673,-3007.8220847945,5.1843738340,3.3707002486
7.8260870000,219.1304350000,-3007.8309162618,-3007.8231847286,-3007.8237697613,4.4844967267,4.8516103418
7.8260870000,234.7826090000,-3007.8309280108,-3007.8206772356,-3007.8250948791,3.6603453955,6.4324585156
7.8260870000,250.4347830000,-3007.8303797329,-3007.8176475415,-3007.8259649673,2.7703072428,7.9895707100
7.8260870000,266.0869570000,-3007.8292738238,-3007.8143237547,-3007.8263157527,1.8562176418,9.3813100287
7.8260870000,281.7391300000,-3007.8276300662,-3007.8109494087,-3007.8261202036,0.9474530849,10.4672706113
7.8260870000,297.3913040000,-3007.8255037725,-3007.8077673076,-3007.8253914555,0.0704799879,11.1297997870
7.8260870000,313.0434780000,-3007.8230012368,-3007.8050043125,-3007.8241814356,-0.7405859559,11.2932405002
7.8260870000,328.6956520000,-3007.8202855027,-3007.8028572036,-3007.8225756959,-1.4371179291,10.9364228022
7.8260870000,344.3478260000,-3007.8175684046,-3007.8014799679,-3007.8206874724,-1.9572445745,10.0956464313
7.8260870000,360.0000000000,-3007.8150919928,-3007.8009732788,-3007.8186495423,-2.2323960316,8.8596267411
15.6521740000,0.0000000000,-3007.8077169652,-3007.7882606021,-3007.8173883583,-6.0688908209,12.2090521417
15.6521740000,15.6521740000,-3007.8033347398,-3007.7889923793,-3007.8134672552,-6.3582494459,8.9999670853
15.6521740000,31.3043480000,-3007.8003984219,-3007.7914213351,-3007.8097679769,-5.8794845713,5.6332069856
15.6521740000,46.9565220000,-3007.7992976975,-3007.7953895770,-3007.8065924181,-4.5775062934,2.4523826669
15.6521740000,62.6086960000,-3007.8002013949,-3007.8006240511,-3007.8042357377,-2.5315883069,-0.2652207493
15.6521740000,78.2608700000,-3007.8030176687,-3007.8067539707,-3007.8029371746,0.0505108038,-2.3445649481
15.6521740000,93.9130430000,-3007.8073946145,-3007.8133365317,-3007.8028308906,2.8637799569,-3.7286093567
15.6521740000,109.5652170000,-3007.8127734380,-3007.8198862768,-3007.8039166014,5.5577489110,-4.4633737304
15.6521740000,125.2173910000,-3007.8184888250,-3007.8259049951,-3007.8060632846,7.7971443461,-4.6537170047
15.6521740000,140.8695650000,-3007.8239027315,-3007.8309149910,-3007.8090423528,9.3250284048,-4.4002593021
15.6521740000,156.5217390000,-3007.8285286687,-3007.8345012684,-3007.8125779982,10.0091968957,-3.7478629061
15.6521740000,172.1739130000,-3007.8321086066,-3007.8363590996,-3007.8163926365,9.8619201097,-2.6672246128
15.6521740000,187.8260870000,-3007.8346109118,-3007.8363367193,-3007.8202292025,9.0246588315,-1.0829605272
15.6521740000,203.4782610000,-3007.8361547256,-3007.8344558774,-3007.8238508857,7.7207761038,1.0660433398
15.6521740000,219.1304350000,-3007.8368968796,-3007.8309033970,-3007.8270312862,6.1907533117,3.7609671138
15.6521740000,234.7826090000,-3007.8369308646,-3007.8259969059,-3007.8295533979,4.6294302462,6.8611626494
15.6521740000,250.4347830000,-3007.8362359188,-3007.8201371612,-3007.8312243653,3.1447973264,10.1021228993
15.6521740000,266.0869570000,-3007.8346924492,-3007.8137648487,-3007.8319043043,1.7495873333,13.1322676047
15.6521740000,281.7391300000,-3007.8321530677,-3007.8073303379,-3007.8315330465,0.3890691957,15.5764981072
15.6521740000,297.3913040000,-3007.8285401992,-3007.8012748906,-3007.8301419589,-1.0051193955,17.1092394794
15.6521740000,313.0434780000,-3007.8239317878,-3007.7960132359,-3007.8278448413,-2.4554781224,17.5191557990
15.6521740000,328.6956520000,-3007.8186023843,-3007.7919114150,-3007.8248136771,-3.8976450553,16.7488361331
15.6521740000,344.3478260000,-3007.8130067794,-3007.7892617840,-3007.8212530921,-5.1746393271,14.9002095843
15.6521740000,360.0000000000,-3007.8077169652,-3007.7882606021,-3007.8173883583,-6.0688908255,12.2090521397
23.4782610000,0.0000000000,-3007.8006863250,-3007.7766768684,-3007.8156705240,-9.4027267839,15.0661615134
23.4782610000,15.6521740000,-3007.7937380306,-3007.7776493083,-3007.8102236168,-10.3448615391,10.0958256420
23.4782610000,31.3043480000,-3007.7889993805,-3007.7810147091,-3007.8049610879,-10.0161226112,5.0104569729
23.4782610000,46.9565220000,-3007.7871701503,-3007.7865600659,-3007.8003256867,-8.2552237631,0.3828337075
23.4782610000,62.6086960000,-3007.7885833899,-3007.7939026938,-3007.7968156444,-5.1658176985,-3.3379136179
23.4782610000,78.2608700000,-3007.7931149195,-3007.8025208708,-3007.7948706662,-1.1017476657,-5.9023235401
23.4782610000,93.9130430000,-3007.8001547822,-3007.8117974761,-3007.7947439821,3.3953283201,-7.3059007677
23.4782610000,109.5652170000,-3007.8086837640,-3007.8210620564,-3007.7964292762,7.6898071760,-7.7674957564
23.4782610000,125.2173910000,-3007.8174658925,-3007.8296204109,-3007.7996666453,11.1691962377,-7.6270754259
23.4782610000,140.8695650000,-3007.8253292144,-3007.8367805585,-3007.8040232216,13.3697123318,-7.1858269308
23.4782610000,156.5217390000,-3007.8314637085,-3007.8419120486,-3007.8090316212,14.0763473145,-6.5564323514
23.4782610000,172.1739130000,-3007.8356036423,-3007.8445397895,-3007.8143006042,13.3678582090,-5.6075170836
23.4782610000,187.8260870000,-3007.8379950444,-3007.8444332004,-3007.8195350771,11.5838043992,-4.0400039012
23.4782610000,203.4782610000,-3007.8391735557,-3007.8416473055,-3007.8244835446,9.2181211156,-1.5523014706
23.4782610000,219.1304350000,-3007.8396698298,-3007.8365016989,-3007.8288788767,6.7714253060,1.9880321886
23.4782610000,234.7826090000,-3007.8397658931,-3007.8295061203,-3007.8324147316,4.6129234325,6.4381045998
23.4782610000,250.4347830000,-3007.8393898941,-3007.8212599874,-3007.8347826347,2.8910989241,11.3766882081
23.4782610000,266.0869570000,-3007.8381640459,-3007.8123716392,-3007.8357451746,1.5178646784,16.1849795803
23.4782610000,281.7391300000,-3007.8355774130,-3007.8034283007,-3007.8352032038,0.2348198736,20.1738726063
23.4782610000,297.3913040000,-3007.8312259259,-3007.7950032823,-3007.8332216279,-1.2523219095,22.7300519952
23.4782610000,313.0434780000,-3007.8250301167,-3007.7876531264,-3007.8300031933,-3.1206526849,23.4544155614
23.4782610000,328.6956520000,-3007.8173419946,-3007.7818894360,-3007.8258227684,-5.3217659151,22.2468164044
23.4782610000,344.3478260000,-3007.8089013468,-3007.7781342634,-3007.8209596954,-7.5667280126,19.3066362979
23.4782610000,360.0000000000,-3007.8006863251,-3007.7766768684,-3007.8156705240,-9.4027267830,15.0661615128
31.3043480000,0.0000000000,-3007.7946093831,-3007.7670950262,-3007.8137108065,-11.9863241051,17.2655196476
31.3043480000,15.6521740000,-3007.7851119698,-3007.7682148456,-3007.8072490245,-13.8912115311,10.6031055719
31.3043480000,31.3043480000,-3007.7785495185,-3007.7722800225,-3007.8008189847,-13.9743010290,3.9341680789
31.3043480000,46.9565220000,-3007.7759537992,-3007.7790274569,-3007.7949589068,-11.9258851155,-1.9287493448
31.3043480000,62.6086960000,-3007.7778532291,-3007.7879714930,-3007.7903937711,-7.8693088974,-6.3493064155
31.3043480000,78.2608700000,-3007.7841314949,-3007.7984640883,-3007.7878328177,-2.3226151331,-8.9938381324
31.3043480000,93.9130430000,-3007.7939173059,-3007.8097559148,-3007.7876983317,3.9024652416,-9.9388771548
31.3043480000,109.5652170000,-3007.8056579938,-3007.8210515415,-3007.7899824357,9.8365612196,-9.6595970538
31.3043480000,125.2173910000,-3007.8174105540,-3007.8315296826,-3007.7942508963,14.5329045932,-8.8598869539
31.3043480000,140.8695650000,-3007.8273173031,-3007.8403312864,-3007.7997818557,17.2787540876,-8.1663978246
31.3043480000,156.5217390000,-3007.8341938356,-3007.8466302593,-3007.8058735383,17.7712548321,-7.8039737294
31.3043480000,172.1739130000,-3007.8378924442,-3007.8498025636,-3007.8120884206,16.1922692708,-7.4737127807
31.3043480000,187.8260870000,-3007.8391698189,-3007.8495642014,-3007.8182013765,13.1578962971,-6.5225735167
31.3043480000,203.4782610000,-3007.8392110236,-3007.8460176814,-3007.8240294714,9.5265677942,-4.2712422625
31.3043480000,219.1304350000,-3007.8390777512,-3007.8396132354,-3007.8292991284,6.1361784259,-0.3360214236
31.3043480000,234.7826090000,-3007.8392922623,-3007.8310404623,-3007.8336062402,3.5680327462,5.1780827231
31.3043480000,250.4347830000,-3007.8396960459,-3007.8210703771,-3007.8365081871,2.0004116193,11.6877836235
31.3043480000,266.0869570000,-3007.8395497536,-3007.8104134700,-3007.8376685997,1.1804418695,18.2832939541
31.3043480000,281.7391300000,-3007.8378110491,-3007.7997038600,-3007.8369582699,0.5351270200,23.9126222048
31.3043480000,297.3913040000,-3007.8335556386,-3007.7895695337,-3007.8344887771,-0.5855532510,27.6016975301
31.3043480000,313.0434780000,-3007.8264030055,-3007.7806572389,-3007.8305665282,-2.6126499451,28.7059019787
31.3043480000,328.6956520000,-3007.8167461559,-3007.7735997926,-3007.8255833411,-5.5454174261,27.0747517244
31.3043480000,344.3478260000,-3007.8056635851,-3007.7689500170,-3007.8198870992,-8.9253898255,23.0381118567
31.3043480000,360.0000000000,-3007.7946093831,-3007.7670950262,-3007.8137108065,-11.9863241049,17.2655196447
39.1304350000,0.0000000000,-3007.7899924587,-3007.7602165738,-3007.8116939068,-13.6178642791,18.6846498857
39.1304350000,15.6521740000,-3007.7781269890,-3007.7613887787,-3007.8048226892,-16.7518048410,10.5033854984
39.1304350000,31.3043480000,-3007.7698644093,-3007.7658975565,-3007.7977480387,-17.4972416130,2.4892377195
39.1304350000,46.9565220000,-3007.7665411024,-3007.7734244006,-3007.7910167725,-15.3587148698,-4.3193348051
39.1304350000,62.6086960000,-3007.7688749888,-3007.7833736826,-3007.7855670221,-10.4744090091,-9.0980677281
39.1304350000,78.2608700000,-3007.7768167759,-3007.7950091422,-3007.7824496098,-3.5346566752,-11.4158822145
39.1304350000,93.9130430000,-3007.7892586155,-3007.8074977833,-3007.7823048891,4.3635292051,-11.4452505929
39.1304350000,109.5652170000,-3007.8040719516,-3007.8199777158,-3007.7851333702,11.8841392716,-9.9810176812
39.1304350000,125.2173910000,-3007.8185066791,-3007.8315790122,-3007.7903076388,17.6951649181,-8.2030129023
39.1304350000,140.8695650000,-3007.8298763093,-3007.8413311012,-3007.7967142623,20.8094986930,-7.1879904211
39.1304350000,156.5217390000,-3007.8365985399,-3007.8482566903,-3007.8033745509,20.8483678308,-7.3155997994
39.1304350000,172.1739130000,-3007.8388304394,-3007.8516530995,-3007.8099383461,18.1300622426,-8.0463407054
39.1304350000,187.8260870000,-3007.8380728984,-3007.8512451669,-3007.8163772737,13.6142100758,-8.2657232858
39.1304350000,203.4782610000,-3007.8363280037,-3007.8471922396,-3007.8226234470,8.5997391596,-6.8174109569
39.1304350000,219.1304350000,-3007.8352682308,-3007.8400301519,-3007.8283973396,4.3115493115,-2.9881505725
39.1304350000,234.7826090000,-3007.8356518406,-3007.8305676005,-3007.8331669781,1.5592747812,3.1904088766
39.1304350000,250.4347830000,-3007.8372118693,-3007.8196989242,-3007.8363606555,0.5341447152,10.9895389333
39.1304350000,266.0869570000,-3007.8388194848,-3007.8081677582,-3007.8375909794,0.7708987922,19.2342488370
39.1304350000,281.7391300000,-3007.8387979432,-3007.7965608871,-3007.8367323835,1.2961582798,26.5041528639
39.1304350000,297.3913040000,-3007.8355248291,-3007.7854882493,-3007.8339393015,0.9949335962,31.3984278629
39.1304350000,313.0434780000,-3007.8281436648,-3007.7756288887,-3007.8295937051,-0.9099140348,32.9535195199
39.1304350000,328.6956520000,-3007.8170235700,-3007.7676983593,-3007.8241925131,-4.4985797007,30.9520370392
39.1304350000,344.3478260000,-3007.8036398368,-3007.7623948189,-3007.8181646804,-9.1144769661,25.8816395350
39.1304350000,360.0000000000,-3007.7899924587,-3007.7602165738,-3007.8116939068,-13.6178642782,18.6846498843
46.9565220000,0.0000000000,-3007.7871875545,-3007.7565192772,-3007.8097545217,-14.1609857343,19.2446345357
46.9565220000,15.6521740000,-3007.7732552623,-3007.7576448980,-3007.8030907353,-18.7220419540,9.7956515071
46.9565220000,31.3043480000,-3007.7635319685,-3007.7623221012,-3007.7959690648,-20.3545852416,0.7592031866
46.9565220000,46.9565220000,-3007.7595985584,-3007.7701696213,-3007.7888244809,-18.3395432800,-6.6334421526
46.9565220000,62.6086960000,-3007.7623067796,-3007.7804719113,-3007.7827446063,-12.8249299317,-11.3987922586
46.9565220000,78.2608700000,-3007.7717399650,-3007.7924587264,-3007.7791745130,-4.6652493614,-13.0012190848
46.9565220000,93.9130430000,-3007.7865845619,-3007.8052594375,-3007.7790017045,4.7583148424,-11.7186614176
46.9565220000,109.5652170000,-3007.8041163818,-3007.8179898286,-3007.7822436310,13.7253583653,-8.7057193455
46.9565220000,125.2173910000,-3007.8207360581,-3007.8298082314,-3007.7881004584,20.4791479618,-5.6928747303
46.9565220000,140.8695650000,-3007.8328295583,-3007.8396940303,-3007.7949891755,23.7451986903,-4.3075212090
46.9565220000,156.5217390000,-3007.8384514724,-3007.8465874969,-3007.8016307520,23.1053508835,-5.1054324603
46.9565220000,172.1739130000,-3007.8383024418,-3007.8498249195,-3007.8079576656,19.0416345734,-7.2304638878
46.9565220000,187.8260870000,-3007.8348031842,-3007.8492273096,-3007.8142223589,12.9146628928,-9.0512753340
46.9565220000,203.4782610000,-3007.8308279981,-3007.8450112036,-3007.8204579389,6.5073103891,-8.9000957919
46.9565220000,219.1304350000,-3007.8286559683,-3007.8377180014,-3007.8263521858,1.4456453403,-5.6865116338
46.9565220000,234.7826090000,-3007.8292293134,-3007.8281685662,-3007.8312100643,-1.2429400030,0.6656288708
46.9565220000,250.4347830000,-3007.8321773157,-3007.8173150609,-3007.8343750547,-1.3791020521,9.3262056598
46.9565220000,266.0869570000,-3007.8360431436,-3007.8058676170,-3007.8355161549,0.3306904363,18.9354288506
46.9565220000,281.7391300000,-3007.8384973627,-3007.7942805110,-3007.8345644136,2.4679628270,27.7464933508
46.9565220000,297.3913040000,-3007.8370834002,-3007.7830914644,-3007.8316888807,3.3851120674,33.8804512040
46.9565220000,313.0434780000,-3007.8302699352,-3007.7729556925,-3007.8272659522,1.8850277724,35.9652302574
46.9565220000,328.6956520000,-3007.8182894354,-3007.7646151355,-3007.8218419698,-2.2292490021,33.6811316848
46.9565220000,344.3478260000,-3007.8030592878,-3007.7589285532,-3007.8159544557,-8.0918400810,27.6924540106
46.9565220000,360.0000000000,-3007.7871875545,-3007.7565192772,-3007.8097545217,-14.1609857348,19.2446345329
54.7826090000,0.0000000000,-3007.7863811496,-3007.7562438327,-3007.8079891113,-13.5592007261,18.9114518516
54.7826090000,15.6521740000,-3007.7707629795,-3007.7572164983,-3007.8020778478,-19.6503765207,8.5005453039
54.7826090000,31.3043480000,-3007.7598842553,-3007.7617577455,-3007.7955031876,-22.3512174256,-1.1756328629
54.7826090000,46.9565220000,-3007.7555180117,-3007.7694360082,-3007.7884746382,-20.6805953973,-8.7336746811
54.7826090000,62.6086960000,-3007.7585589139,-3007.7794231409,-3007.7821107628,-14.7790083666,-13.0925001006
54.7826090000,78.2608700000,-3007.7692557940,-3007.7909729389,-3007.7782548807,-5.6470121973,-13.6277142156
54.7826090000,93.9130430000,-3007.7861015335,-3007.8032060197,-3007.7780325386,5.0633707351,-10.7332271497
54.7826090000,109.5652170000,-3007.8057776474,-3007.8152466421,-3007.7814676004,15.2547848378,-5.9418838807
54.7826090000,125.2173910000,-3007.8238630549,-3007.8263481711,-3007.7876429527,22.7284573008,-1.5594339161
54.7826090000,140.8695650000,-3007.8358206546,-3007.8355096296,-3007.7945250411,25.9133886980,0.1951711259
54.7826090000,156.5217390000,-3007.8394672853,-3007.8416864864,-3007.8005924185,24.3943472423,-1.3925697041
54.7826090000,172.1739130000,-3007.8362758669,-3007.8443933884,-3007.8062207780,18.8598530295,-5.0938216797
54.7826090000,187.8260870000,-3007.8296353115,-3007.8436082170,-3007.8119196347,11.1167549989,-8.7681306239
54.7826090000,203.4782610000,-3007.8232229663,-3007.8395958336,-3007.8177638644,3.4256381722,-10.2741293544
54.7826090000,219.1304350000,-3007.8198549548,-3007.8328348888,-3007.8233827590,-2.2137305608,-8.1450315630
54.7826090000,234.7826090000,-3007.8205902797,-3007.8240315264,-3007.8279028625,-4.5887149591,-2.1594149144
54.7826090000,250.4347830000,-3007.8249910212,-3007.8141091467,-3007.8306704273,-3.5638811814,6.8284793316
54.7826090000,266.0869570000,-3007.8314007401,-3007.8036811588,-3007.8315581801,-0.0987950855,17.3942998860
54.7826090000,281.7391300000,-3007.8368951402,-3007.7930025842,-3007.8306070570,3.9458317604,27.5429947415
54.7826090000,297.3913040000,-3007.8381229180,-3007.7825038367,-3007.8279526141,6.3819620368,34.9015004678
54.7826090000,313.0434780000,-3007.8326905385,-3007.7727781741,-3007.8238472500,5.5492472894,37.5955762737
54.7826090000,328.6956520000,-3007.8205306424,-3007.7645284211,-3007.8187876761,1.0937278296,35.1419243797
54.7826090000,344.3478260000,-3007.8040093023,-3007.7587706840,-3007.8134460251,-5.9216329958,28.3876615774
54.7826090000,360.0000000000,-3007.7863811496,-3007.7562438327,-3007.8079891114,-13.5592007264,18.9114518525
